facility_code,facility_description,issuer,facility_agent,principle,maturity_date,instrument_id
202200047,HENGYUAN RM5.0BILLION 30YRS UNRATED MTN PROGRAMME,HENGYUAN,MAYBANK INVESTMENT BANK BERHAD,CONVENTIONAL,18/10/2052,MTN
202200046,AMANAT LEBUHRAYA RAKYAT RM5.5B SUSTAINABILITY SUKUK MURABAHAH PROGRAMME,ALR,AMINVESTMENT BANK BERHAD,ISLAMIC,13/10/2044,IMTN
202200045,JPB RM1.0 BILLION IMTN PROGRAMME,JPB,RHB INVESTMENT BANK BERHAD,ISLAMIC,03/10/2042,IMTN
202200044,JPB RM1.0 BILLION ICP PROGRAMME,JPB,RHB INVESTMENT BANK BERHAD,ISLAMIC,04/10/2029,ICP
202200043,VS CAPITAL MANAGEMENT SDN. BHD. RM1.0 BILLION PERPETUAL SUKUK WAKALAH PROGRAMME,VS CAPITAL,MUFG BANK (MALAYSIA) BERHAD,ISLAMIC,21/09/2122,IMTN
202200042,EDOTCO MALAYSIA SDN BHD - ISLAMIC MTN PROGRAMME OF UP TO RM3.0BIL IN NOMINAL VALUE BASED ON THE SHARIAH PRINCIPLE OF WAKALAH BI AL-ISTITHMAR,EMSB,OCBC BANK (MALAYSIA) BERHAD,ISLAMIC,31/12/2122,IMTN
202200041,FVSB RM360.0 MILLION SUKUK MURABAHAH PROGRAMME,FVSB,CIMB INVESTMENT BANK BERHAD,ISLAMIC,26/08/2032,IMTN
202200040,BANK ISLAM RM5.0 BILLION SUKUK WAKALAH PROGRAMME,ISLAM,BANK ISLAM MALAYSIA BERHAD,ISLAMIC,22/08/2121,IMTN
202200039,HEMSB RM250.0 MILLION MTN PROGRAMME,HEMSB,PUBLIC INVESTMENT BANK BERHAD,CONVENTIONAL,15/08/2052,MTN
202200038,TGJH RM150.0 MILLION SUKUK MURABAHAH PROGRAMME,TGJH,PUBLIC INVESTMENT BANK BERHAD,ISLAMIC,08/08/2047,IMTN
202200037,PASB RM2.0 BILLION SUKUK WAKALAH PROGRAMME,PASB,CIMB INVESTMENT BANK BERHAD,ISLAMIC,03/08/2029,ICP
202200036,SPETCHEM RM6.0 BILLION SUKUK WAKALAH PROGRAMME,SPETCHEM,RHB INVESTMENT BANK BERHAD,ISLAMIC,26/07/2052,IMTN
202200035,MEX I CAPITAL BERHAD SUBORDINATED SUKUK MUSHARAKAH,MEX I,ALLIANCE ISLAMIC BANK BHD,ISLAMIC,21/07/2042,IMTN
202200034,TSM RM1.08 BILLION UNRATED SUKUK WAKALAH PROGRAMME,TSM,BANK ISLAM MALAYSIA BERHAD,ISLAMIC,08/07/2122,IMTN
202200033,MRL RM1.70 BILLION ICP/IMTN PROGRAMME,MRL,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,07/07/2072,"COMBINE, ICP, IMTN"
202200032,BGMCC RM111.53 million RSLS,BGMCC,ALLIANCE BANK MALAYSIA BERHAD,CONVENTIONAL,30/06/2027,LOANSTOCK
202200031,Financial Guaranteed Medium Term Notes of up to RM230.0 million in nominal value (Guaranteed MTNs),QRMSB,UNITED OVERSEAS BANK (MALAYSIA) BERHAD,CONVENTIONAL,29/06/2029,MTN
202200030,Asset-Backed Securities Medium Term Notes Programme of up to RM500.0 million in nominal value (ABS MTN Programme),NPB,UNITED OVERSEAS BANK (MALAYSIA) BERHAD,CONVENTIONAL,30/06/2042,ABSMTN
202200029,Johor Corporation RM3.5 Billion IMTN Sukuk Wakalah,JOHORCORP,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,13/06/2121,IMTN
202200028,GAMUDA RM2.0B ICP PROGRAMME,GAMUDA,AMINVESTMENT BANK BERHAD,ISLAMIC,01/06/2029,ICP
202200027,TNB Power Generation RM10.0 Billion IMTN Sukuk Wakalah,TNBPGSB,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,31/05/2052,IMTN
202200026,CYPARK ESTUARY SOLAR SDN BHD RM8.0 MILLION RCUIDS 22 YRS,CESSB,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,03/06/2044,ILOANSTOCK
202200025,COVE SURIA RM8.0 MILLION RCUIDS 22 YRS,COVE SURIA,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,03/06/2044,ILOANSTOCK
202200024,Unrated Islamic medium term notes of up to RM130.0 million in nominal value (Sukuk Murabahah),PTSB,UNITED OVERSEAS BANK (MALAYSIA) BERHAD,ISLAMIC,29/04/2037,IMTN
202200023,STSB RM3.0B MTN Programme,STSB,PUBLIC INVESTMENT BANK BERHAD,CONVENTIONAL,28/04/2121,MTN
202200022,MBSB RM5.0 Billion Perpetual IMTN (Sustainability Sukuk Wakalah),MBSBBANK,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,15/04/2121,IMTN
202200021,MMC PORT RM1.0 BILLION SUKUK MURABAHAH PROGRAMME,MMC PORT,RHB INVESTMENT BANK BERHAD,ISLAMIC,08/04/2042,IMTN
202200020,SAB RM300 MILLION MTN PROGRAMME,SAB,HONG LEONG INVESTMENT BANK BERHAD,CONVENTIONAL,31/03/2032,ABSMTN
202200019,WIDAD CONCESSION SUKUK WAKALAH FACILITY OF UP TO RM310.0 MILLION,WIDAD,MIDF AMANAH INVESTMENT BANK BERHAD,ISLAMIC,30/03/2034,IMTN
202200018,ZAMARAD SUKUK MURABAHAH PROGRAMME - CLASS C (SEVENTH TRANCHE),ZAMARAD,AMINVESTMENT BANK BERHAD,ISLAMIC,27/03/2122,ABS-IMTN
202200017,ZAMARAD SUKUK MURABAHAH PROGRAMME - CLASS B (SEVENTH TRANCHE),ZAMARAD,AMINVESTMENT BANK BERHAD,ISLAMIC,27/03/2122,ABS-IMTN
202200016,ZAMARAD SUKUK MURABAHAH PROGRAMME - CLASS A (SEVENTH TRANCHE),ZAMARAD,AMINVESTMENT BANK BERHAD,ISLAMIC,27/03/2122,ABS-IMTN
202200015,TCMH RM1.5 BILLION SUKUK MURABAHAH PROGRAMME,TCMH,RHB INVESTMENT BANK BERHAD,ISLAMIC,15/03/2052,IMTN
202200014,CENVIRO RM500.0 MILLION SUKUK WAKALAH PROGRAMME,CENVIRO,RHB INVESTMENT BANK BERHAD,ISLAMIC,14/03/2042,IMTN
202200013,KLK RM2.0 BILLION 30YRS IMTN SUKUK WAKALAH,KLK,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,15/03/2052,IMTN
202200012,MAYBANK RM20.0 BILLION PERPETUAL SUBORDINATED NOTES PROGRAMME,MAYBANK,MAYBANK INVESTMENT BANK BERHAD,CONVENTIONAL,10/05/2112,BONDS
202200011,Islamic MTN Programme of up to RM3.0b based on Shariah Principle of Wakalah Bi Al-Istithmar,POINT ZONE,OCBC BANK (MALAYSIA) BERHAD,ISLAMIC,25/02/2122,IMTN
202200010,MAYBANK RM10.0B PERPETUAL ADDITIONAL TIER 1 CAPITAL SECURITIES PROGRAMME,MAYBANK,MAYBANK INVESTMENT BANK BERHAD,CONVENTIONAL,10/09/2114,BONDS
202200009,KCSB MTN PROGRAMME - ISSUE 3 RM230.0M,KCSB,CIMB INVESTMENT BANK BERHAD,CONVENTIONAL,22/12/2036,MTN
202200008,YNHP RM700.0 MILLION SUKUK WAKALAH PROGRAMME,YNHP,CIMB INVESTMENT BANK BERHAD,ISLAMIC,27/02/2122,IMTN
202200007,UEMS RM4.0 BILLION 7 YEARS ICP & PERPETUAL IMTN PROGRAMME,UEMS,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,14/02/2121,"COMBINE, ICP, IMTN"
202200006,DANUM SINAR RM300M PERPETUAL SUKUK MURABAHAH PROGRAMME,DANUM SINAR,AFFIN HWANG INVESTMENT BANK BERHAD,ISLAMIC,09/02/2122,IMTN
202200005,BKB RM1.0 BILLION SUKUK WAKALAH PROGRAMME,BKB,CIMB INVESTMENT BANK BERHAD,ISLAMIC,09/02/2043,IMTN
202200004,KAB RM500.0M Multi-Currency Sukuk Programme,KAB,PUBLIC INVESTMENT BANK BERHAD,ISLAMIC,31/01/2052,IMTN
202200003,MDV RM2.0BIL 25-YRS IMTN PROGRAMME (WITH SUB-LIMIT OF RM500.0MIL 7-YRS ICP PROGRAMME),MDV,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,07/02/2047,"COMBINE, ICP, IMTN"
202200002,MDV RM2.0BIL 25-YRS MTN PROGRAMME (WITH SUB-LIMIT OF RM500.0MIL 7-YRS CP PROGRAMME),MDV,MAYBANK INVESTMENT BANK BERHAD,CONVENTIONAL,07/02/2047,"COMBINE, CP, MTN"
202200001,MEX I CAPITAL BERHAD SENIOR SUKUK MUSHARAKAH,MEX I,ALLIANCE ISLAMIC BANK BHD,ISLAMIC,23/01/2040,IMTN
202100069,EKOVEST SUKUK MURABAHAH PROGRAMME OF UP TO RM1.3 BILLION,EKOVEST,MIDF AMANAH INVESTMENT BANK BERHAD,ISLAMIC,03/01/2042,IMTN
202100068,FGV UNRATED SUKUK MURABAHAH PROGRAMME OF UP TO RM500.0 MILLION,FGV,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,31/12/2029,IMTN
202100067,MCIS INS RM200.0M TIER 2 SUBORDINATED DEBT,MCIS INS,CIMB INVESTMENT BANK BERHAD,CONVENTIONAL,29/12/2031,BONDS
202100066,CIMBGH RM15.0 BILLION SUKUK WAKALAH PROGRAMME,CIMB,CIMB INVESTMENT BANK BERHAD,ISLAMIC,29/12/2121,IBONDS
202100065,CIMBBANK RM15.0 BILLION SUKUK WAKALAH PROGRAMME,CIMBBANK,CIMB INVESTMENT BANK BERHAD,ISLAMIC,29/12/2121,IBONDS
202100064,MAHB SENIOR AND PERPETUAL SUKUK WAKALAH PROGRAMME OF RM5.0 BILLION,MAHB,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,30/12/2120,IMTN
202100063,PONSB RM4.0 BILLION IMTN PROGRAMME,PONSB,CIMB INVESTMENT BANK BERHAD,ISLAMIC,28/12/2051,IMTN
202100062,PONSB RM1.0 BILLION ICP PROGRAMME,PONSB,CIMB INVESTMENT BANK BERHAD,ISLAMIC,28/12/2028,ICP
202100061,CENERGI SEA RM1.5B SUKUK PROGRAMME,CENERGI SEA,CIMB INVESTMENT BANK BERHAD,ISLAMIC,23/12/2121,IMTN
202100060,"Trusmadi RM3,000.0 million Perpetual MTN (with sub-limit of RM300.0 million 7-years CP)",TRUSMADI,MAYBANK INVESTMENT BANK BERHAD,CONVENTIONAL,17/12/2120,"COMBINE, CP, MTN"
202100059,YINSON HOLDINGS BERHAD RM1.0 BILLION PERPETUAL SUKUK WAKALAH PROGRAMME,YHB,MUFG BANK (MALAYSIA) BERHAD,ISLAMIC,05/12/2121,IMTN
202100058,PWI RM100.0 MILLION CP/MTN PROGRAMME,PRICEWORTH,KENANGA INVESTMENT BANK BERHAD,CONVENTIONAL,11/11/2024,"COMBINE, CP-CPN, MTN"
202100057,KIMLUN CORPORATION BERHAD- ISLAMIC CP PROGRAMME (7YRS) & ISLAMIC MTN PROGRAMME (PERPETUAL) COMBINED LIMIT OF UP TO RM800MIL IN NOMINAL VALUE,KIMLUN,OCBC BANK (MALAYSIA) BERHAD,ISLAMIC,31/12/2121,"COMBINE, ICP, IMTN"
202100056,AGROBANK RM1.0 BILLION PERPETUAL IMTN PROGRAMME,AGROBANK,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,01/11/2120,IMTN
202100055,DANAINFRA NASIONAL RM7.6 BILLION GG ICP/IMTN PROGRAMME,DANAINFRA,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,22/10/2071,"COMBINE, ICP, IMTN"
202100054,BANK SIMPANAN NASIONAL RM3.5 BILLION PERPETUAL IMTN PROGRAMME,BSN,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,21/10/2120,IMTN
202100053,MAYBANK AGEAS RM3.0 BILLION PERPETUAL SUBORDINATED BONDS PROGRAMME,AGEAS,MAYBANK INVESTMENT BANK BERHAD,CONVENTIONAL,07/10/2120,BONDS
202100052,"CRESCENDO CORPORATION BERHAD - MEDIUM TERM NOTES PROGRAMME OF UP TO RM300.0 MILLION IN AGGREGATE NOMINAL VALUE (""MTN PROGRAMME"")",CRESCENDO,OCBC BANK (MALAYSIA) BERHAD,CONVENTIONAL,30/09/2121,MTN
202100051,XLB RM200.0 MILLION CP/MTN PROGRAMME,XLB,KENANGA INVESTMENT BANK BERHAD,CONVENTIONAL,27/09/2024,"COMBINE, CP-CPN, MTN"
202100050,"SME BANK RM1,000.0 MILLION ICP PROGRAMME",SME BANK,RHB INVESTMENT BANK BERHAD,ISLAMIC,29/09/2028,ICP
202100049,IGB CRC RM5.0 BILLION MTN PROGRAMME,IGB CRC,HONG LEONG INVESTMENT BANK BERHAD,CONVENTIONAL,17/09/2121,MTN
202100048,ARSB RM210M (FOURTH SUKUK ISSUE),ARSB,CIMB INVESTMENT BANK BERHAD,ISLAMIC,15/09/2032,IMTN
202100047,HANWHA RM150.0M ASEAN GREEN BONDS,HANWHA,CIMB INVESTMENT BANK BERHAD,CONVENTIONAL,30/08/2024,MTN
202100046,PRASARANA RM17.0 BIL SUKUK MURABAHAH PROGRAMME,PRASARANA,RHB INVESTMENT BANK BERHAD,ISLAMIC,25/08/2051,"COMBINE, ICP, IMTN"
202100045,HUA YANG PERPETUAL SUKUK MUSHARAKAH RM500.0 MILLION,HYB,RHB INVESTMENT BANK BERHAD,ISLAMIC,20/08/2121,IMTN
202100044,VIVA SOLAR RM8.0 MILLION RCUIDS 22 YRS,VIVA SOLAR,MAYBANK INVESTMENT BANK BERHAD,ISLAMIC,12/08/2043,ILOANSTOCK
202100043,AGROTO ASEAN SUSTAINABILITY SRI SUKUK PROGRAMME OF UP TO RM300.00 MILLION,AGROTO,MIDF AMANAH INVESTMENT BANK BERHAD,ISLAMIC,05/08/2036,IMTN
202100042,"SME BANK RM3,000.0 MILLION IMTN PROGRAMME",SME BANK,RHB INVESTMENT BANK BERHAD,ISLAMIC,02/08/2051,IMTN
202100041,SABAHDEV RM3.0 BILLION MTN PROGRAMME,SABAHDEV,CIMB INVESTMENT BANK BERHAD,CONVENTIONAL,30/07/2046,MTN
202100040,ZAMARAD SUKUK MURABAHAH PROGRAMME - CLASS C (SIXTH TRANCHE),ZAMARAD,AMINVESTMENT BANK BERHAD,ISLAMIC,08/07/2121,ABS-IMTN
202100039,ZAMARAD SUKUK MURABAHAH PROGRAMME - CLASS B (SIXTH TRANCHE),ZAMARAD,AMINVESTMENT BANK BERHAD,ISLAMIC,08/07/2121,ABS-IMTN
